,Countries,New Cases,Total Cases,Total Deaths,Todays Deaths,Total Recoveries
0,"
North America
","956,684","+2,552","54,120",+149,"105,503"
1,"
Europe
","1,212,285","+19,009","115,221",+962,"385,278"
2,"
Asia
","441,847","+6,571","16,389",+177,"208,031"
3,"
South America
","104,125",+797,"5,107",+34,"43,680"
4,"
Oceania
","8,232",+13,96,+5,"6,294"
5,"
Africa
","28,647",+555,"1,303",+5,"8,756"
6,"

",721,,15,,645
7,World,"2,752,541","+29,497","192,251","+1,332","758,187"
8,USA,"887,622","+1,180","50,283 ",+47,"85,922"
9,Spain,"219,764","+6,740","22,524 ",+367,"92,355"
10,Italy,"189,973",,"25,549 ",,"57,576"
11,France,"158,183",,"21,856 ",,"42,088"
12,Germany,"153,393",+264,"5,575 ",,"106,800"
13,UK,"138,078",,"18,738 ",,N/A
14,Turkey,"101,790",,"2,491 ",,"18,491"
15,Iran,"88,194","+1,168","5,574 ",+93,"66,599"
16,Russia,"68,622","+5,849",615 ,+60,"5,568"
17,Brazil,"50,230",+738,"3,343 ",+30,"26,573"
18,Belgium,"44,293","+1,496","6,679  ",+189,"10,122"
19,Canada,"42,110",,"2,147 ",,"14,761"
20,Netherlands,"36,535",+806,"4,289 ",+112,N/A
21,Switzerland,"28,677",+181,"1,551 ",+2,"20,600"
22,India,"23,502",+463,722 ,+1,"5,012"
23,Portugal,"22,797",+444,854 ,+34,"1,228"
24,Peru,"20,914",,572 ,,"7,422"
25,Ireland,"17,607",,794 ,,"9,233"
26,Sweden,"17,567",+812,"2,152 ",+131,550
27,Saudi Arabia,"15,102","+1,172",127 ,+6,"2,049"
28,Austria,"15,071",+69,522 ,,"11,872"
29,Israel,"14,882",+79,193 ,+1,"5,685"
30,Japan,"12,368",,328 ,,"1,494"
31,Singapore,"12,075",+897,12 ,,924
32,Chile,"11,812",,168 ,,"5,804"
33,Mexico,"11,633","+1,089","1,069 ",+99,"2,627"
34,Ecuador,"11,183",,560 ,,"1,328"
35,Pakistan,"11,155",+98,237 ,+2,"2,527"
36,Poland,"10,759",+248,463 ,+9,"1,944"
37,S. Korea,"10,708",+6,240 ,,"8,501"
38,Romania,"10,417",+321,552 ,+7,"2,817"
39,Belarus,"8,773",+751,63 ,+3,"1,120"
40,UAE,"8,756",,56 ,,"1,637"
41,Qatar,"8,525",+761,10 ,,809
42,Indonesia,"8,211",+436,689 ,+42,"1,002"
43,Denmark,"8,210",+137,403 ,+9,"5,526"
44,Ukraine,"7,647",+477,193 ,+6,601
45,Norway,"7,401",,195 ,+1,32
46,Serbia,"7,276",,139 ,,"1,063"
47,Philippines,"7,192",+211,477 ,+15,762
48,Czechia,"7,188",+1,213 ,+3,"2,186"
49,Australia,"6,675",+8,79 ,+4,"5,136"
50,Malaysia,"5,691",+88,96 ,+1,"3,663"
51,Dominican Republic,"5,543",,265 ,,674
52,Panama,"5,166",+174,146 ,+2,271
53,Bangladesh,"4,689",+503,131 ,+4,112
54,Colombia,"4,561",,215 ,,927
55,Finland,"4,395",+111,177 ,+5,"2,000"
56,South Africa,"3,953",,75 ,,"1,473"
57,Egypt,"3,891",,287 ,,"1,004"
58,Morocco,"3,692",+124,155 ,,478
59,Luxembourg,"3,665",,83 ,,728
60,Argentina,"3,435",,166 ,+1,919
61,Algeria,"3,007",,407 ,,"1,355"
62,Moldova,"2,926",,84 ,+4,755
63,Thailand,"2,854",+15,50 ,,"2,490"
64,Kuwait,"2,614",+215,15 ,+1,613
65,Greece,"2,463",,127 ,+2,577
66,Hungary,"2,383",+99,250 ,+11,401
67,Kazakhstan,"2,376",+87,25 ,+5,602
68,Bahrain,"2,217",,8 ,,"1,082"
69,Croatia,"2,009",+28,51 ,+1,982
70,Oman,"1,790",+74,9 ,,325
71,Iceland,"1,789",,10 ,,"1,542"
72,Uzbekistan,"1,778",+20,8 ,+1,598
73,Iraq,"1,677",,83 ,,"1,171"
74,Estonia,"1,605",+13,46 ,+1,206
75,Armenia,"1,596",+73,27 ,+3,728
76,Azerbaijan,"1,592",+44,21 ,+1,"1,013"
77,New Zealand,"1,456",+5,17 ,+1,"1,095"
78,Cameroon,"1,430",+96,43 ,,668
79,Bosnia and Herzegovina,"1,421",+8,55 ,+1,538
80,Lithuania,"1,410",+12,40 ,,430
81,Slovenia,"1,373",+7,80 ,+1,211
82,Slovakia,"1,360",+35,17 ,+2,355
83,Afghanistan,"1,330",+51,43 ,+1,188
84,North Macedonia,"1,300",,56 ,,301
85,Ghana,"1,279",+125,10 ,+1,134
86,Cuba,"1,235",,43 ,,365
87,Bulgaria,"1,171",+74,52 ,,193
88,Hong Kong,"1,036",,4 ,,699
89,Ivory Coast,"1,004",,14 ,,359
